Year,Season,District,Crop,Area_Hectares,Production_Tonnes,Yield_KgPerHa,Rainfall_mm,Min_Temperature_C,Max_Temperature_C,Humidity_Percent,Soil_pH,Organic_Carbon_Percent,Nitrogen_KgPerHa,Phosphorus_KgPerHa,Potassium_KgPerHa,Soil_Type,Irrigation_Type,Pest_Incidence_Score,Urea_Applied_KgPerHa,DAP_Applied_KgPerHa,Potash_Applied_KgPerHa
2015,Kharif,Ahmednagar,Soybean,1577,2117,1343,514.29,23.25,30.45,78.05,7.88,0.3,348.44,28.52,217.86,Black Soil,Rainfed,2,111.19,39.76,37.53
2015,Kharif,Akola,Soybean,1966,2966,1509,944.25,22.25,30.11,83.56,7.13,0.65,153.19,16.93,158.56,Red Soil,Irrigated,2,140.93,48.11,59.75
2015,Kharif,Amravati,Soybean,4383,6329,1444,1115.86,22.99,37.37,62.21,6.39,0.34,215.07,21.66,163.42,Laterite Soil,Rainfed,3,110.7,49.32,37.78
2015,Kharif,Beed,Soybean,5091,7030,1381,884.77,24.63,35.21,82.87,7.7,0.7,169.08,21.12,227.01,Red Soil,Rainfed,5,138.72,63.06,27.18
2015,Kharif,Bhandara,Soybean,3426,4008,1170,561.38,24.48,33.8,74.08,7.39,0.43,270.88,26.2,152.49,Alluvial Soil,Rainfed,2,66.12,95.08,68.49
2015,Kharif,Buldhana,Soybean,4228,4739,1121,1088.58,20.03,34.09,70.44,6.44,0.41,217.52,38.29,171.71,Red Soil,Irrigated,0,56.49,47.77,34.81
2015,Kharif,Chandrapur,Soybean,3684,4774,1296,622.92,24.54,31.92,63.62,6.98,1.19,198.41,30.16,241.86,Black Soil,Irrigated,4,113.23,74.35,52.15
2015,Kharif,Dhule,Soybean,1344,1870,1392,476.94,24.7,33.18,72.94,7.68,0.91,297.04,16.27,206.63,Red Soil,Rainfed,1,148.22,66.16,35.65
2015,Kharif,Gadchiroli,Soybean,4393,4401,1002,1110.22,24.25,37.49,79.63,7.34,0.82,224.46,38.2,275.79,Black Soil,Rainfed,1,119.19,75.64,33.46
2015,Kharif,Gondia,Soybean,979,1301,1329,474.94,21.84,32.12,66.1,7.95,0.65,328.41,28.93,247.17,Red Soil,Rainfed,0,69.52,80.57,36.85
2015,Kharif,Hingoli,Soybean,4211,5769,1370,1162.46,21.65,34.42,74.31,7.96,0.37,211.14,15.73,162.96,Black Soil,Rainfed,1,143.62,78.72,54.2
2015,Kharif,Jalgaon,Soybean,5150,8178,1588,509.3,23.54,34.42,67.41,6.84,0.53,272.3,12.45,120.83,Red Soil,Rainfed,5,129.58,92.3,40.28
2015,Kharif,Jalna,Soybean,3671,5642,1537,424.4,20.19,36.58,69.0,6.25,0.77,304.0,16.47,219.66,Black Soil,Rainfed,3,91.14,78.97,28.3
2015,Kharif,Kolhapur,Soybean,1254,1537,1226,742.65,23.44,30.47,82.88,6.88,0.52,168.77,15.49,269.54,Red Soil,Rainfed,4,111.17,59.37,34.86
2015,Kharif,Latur,Soybean,2835,3302,1165,540.26,20.09,36.11,80.17,6.69,0.72,279.95,11.44,271.86,Laterite Soil,Rainfed,1,112.59,65.22,71.39
2015,Kharif,Mumbai City,Soybean,2262,2517,1113,858.69,20.64,36.49,80.52,7.25,1.04,280.3,16.2,163.83,Black Soil,Rainfed,4,59.44,77.81,24.27
2015,Kharif,Nagpur,Soybean,1753,2762,1576,988.06,24.02,32.26,64.44,7.5,1.03,348.1,22.38,179.52,Laterite Soil,Rainfed,5,106.19,46.7,60.79
2015,Kharif,Nanded,Soybean,2750,2081,757,442.79,24.79,36.78,68.87,7.91,0.91,246.5,24.79,133.33,Black Soil,Irrigated,3,117.25,82.67,67.49
2015,Kharif,Nandurbar,Soybean,3463,4200,1213,964.67,24.84,35.5,80.92,7.73,1.05,235.22,16.68,183.46,Laterite Soil,Rainfed,4,58.48,99.06,42.46
2015,Kharif,Nashik,Soybean,2821,3043,1079,785.33,21.89,35.64,66.22,6.66,0.69,200.74,22.16,211.44,Red Soil,Irrigated,0,124.42,77.67,34.25
2015,Kharif,Osmanabad,Soybean,1325,1256,948,658.15,20.22,37.4,82.98,6.51,0.93,165.09,14.99,154.69,Black Soil,Sprinkler,5,108.43,93.08,22.73
2015,Kharif,Parbhani,Soybean,2129,3089,1451,682.68,22.92,30.62,84.36,7.97,0.93,257.22,19.29,250.21,Red Soil,Rainfed,5,57.62,95.84,45.0
2015,Kharif,Pune,Soybean,2622,2734,1043,1188.23,21.88,36.0,69.82,7.66,0.81,162.7,11.1,141.42,Black Soil,Rainfed,3,131.29,99.98,79.8
2015,Kharif,Raigad,Soybean,2567,2577,1004,884.94,21.14,35.37,75.45,6.72,0.4,284.31,25.61,243.57,Red Soil,Drip,5,146.8,36.19,67.51
2015,Kharif,Ratnagiri,Soybean,4134,5833,1411,886.47,23.18,34.44,62.28,7.45,0.79,240.18,37.31,167.67,Red Soil,Irrigated,4,64.71,94.86,49.53
2015,Kharif,Sangli,Soybean,4483,3909,872,673.25,22.69,33.68,74.62,6.8,0.93,186.01,30.9,185.87,Laterite Soil,Rainfed,1,110.19,45.67,69.31
2015,Kharif,Satara,Soybean,4460,5597,1255,657.27,20.46,33.85,77.19,7.02,0.44,225.46,10.08,258.93,Black Soil,Rainfed,3,70.93,55.93,49.07
2015,Kharif,Solapur,Soybean,5199,7273,1399,1075.55,23.75,30.24,81.68,6.71,0.66,170.97,32.12,149.17,Red Soil,Drip,5,82.75,38.38,73.43
2015,Kharif,Thane,Soybean,4373,4250,972,846.19,22.93,34.52,69.47,6.67,1.11,271.51,17.33,199.72,Black Soil,Sprinkler,4,60.18,40.7,34.76
2015,Kharif,Wardha,Soybean,3864,4625,1197,1117.29,22.88,37.34,60.13,7.95,0.74,294.58,34.63,234.95,Red Soil,Rainfed,4,126.95,43.09,39.42
2015,Kharif,Washim,Soybean,2444,2148,879,864.99,20.77,33.85,73.31,6.1,0.6,176.88,11.9,278.39,Black Soil,Drip,0,63.88,30.19,27.0
2015,Kharif,Yavatmal,Soybean,3425,3486,1018,703.38,24.63,35.77,61.2,7.56,1.05,300.1,33.99,252.02,Black Soil,Rainfed,5,102.31,55.12,72.63
2015,Kharif,Ahmednagar,Groundnut,2894,5214,1802,861.99,21.78,33.13,73.3,6.13,0.51,258.57,22.95,173.25,Red Soil,Irrigated,3,129.4,73.41,52.01
2015,Kharif,Akola,Groundnut,1295,1529,1181,971.25,22.47,36.04,62.57,7.07,0.64,241.4,28.12,200.37,Red Soil,Rainfed,3,122.23,80.4,58.47
2015,Kharif,Amravati,Groundnut,1263,1792,1419,630.34,23.07,37.29,63.48,6.2,0.53,295.22,27.79,136.35,Alluvial Soil,Irrigated,4,120.72,40.68,54.58
2015,Kharif,Beed,Groundnut,2392,3521,1472,490.59,24.92,36.71,63.12,7.84,1.08,253.77,27.74,183.84,Black Soil,Rainfed,3,128.78,72.26,26.86
2015,Kharif,Bhandara,Groundnut,1949,2890,1483,761.95,20.7,31.41,72.46,6.84,1.12,222.48,27.42,221.16,Black Soil,Irrigated,0,146.11,40.41,44.88
2015,Kharif,Buldhana,Groundnut,1708,2531,1482,429.24,22.36,34.52,61.64,7.55,0.71,254.88,23.22,184.12,Red Soil,Rainfed,0,83.44,35.29,65.19
